idCaracteristica	nombre	nombre_castellano	gender
CAR00031	الانقباض	retiro	m
CAR00080	الرواية	la transmisión	m
CAR00029	الزهد	ascetismo	m
CAR00052	الصلاح	Integridad	m
CAR00032	العبادة	piedad	m
CAR00055	الكذب	falta de fiabilidad	m
CAR00077	المروءة	cualidades nobles del varón	m
CAR00044	النباهة	renombre	m
CAR00026	أحد الأبدال	uno de los santos	m
CAR00067	أعرج	cojo	m
CAR00071	إقلال	sobriedad	m
CAR00079	إنصاف	justicia, equidad	m
CAR00040	بصير	experto	m
CAR00037	بليغ	retórico	m
CAR00085	ثبت	fidedigno	m
CAR00007	ثقة	fiable	m
CAR00012	جليل القدر	honorable, de gran dignidad	m
CAR00003	حافظ	memorión	m
CAR00086	حسن التصرّف	arbitrio, discreción	m
CAR00022	حسن السيرة	de buena conducta	m
CAR00024	خاشع	devoto	m
CAR00082	خيّر	bondadoso	m
CAR00014	دين	religioso	m
CAR00075	ذكي	inteligente	m
CAR00006	زاهد	asceta	m
CAR00053	زهد	ascetismo	m
CAR00008	صالح	virtuoso	m
CAR00056	صدوق	verídico	m
CAR00073	صوام	ayunador	m
CAR00013	ضابط	preciso, exacto, fidedigno	m
CAR00045	ضعيف	poco fiable	m
CAR00084	طاهر	casto, virtuoso	m
CAR00023	عابد	piadoso/devoto	m
CAR00019	عادل	persona de moral recta	m
CAR00034	عارف	sabio	m
CAR00028	عاقل	inteligente	m
CAR00065	عالم	sabio en las ciencias religiosas	m
CAR00060	عدل	recto, justo	m
CAR00016	عفيف	casto	m
CAR00068	عفيفة	virtuosa	f
CAR00050	عني الرواية	interesado en la transmisión	m
CAR00051	عني بطلب العلم / من أهل العناية بالعلم	interesado en el saber	m
CAR00015	فاضل	virtuoso	m
CAR00038	فصيح اللسان	elocuente	m
CAR00070	فقر	austeridad	m
CAR00063	فهم	Inteligencia, comprensión	m
CAR00009	قليل الحفظ	de escasa memoria	m
CAR00088	قليل العلم	de escaso saber	m
CAR00072	قوام	velador	m
CAR00064	كثير التلاوة للقرآن	lector asiduo del Corán	m
CAR00062	لسن	elocuente	m
CAR00083	لين	amable	m
CAR00025	متدين	devoto	m
CAR00091	متصاون	Honesto	m
CAR00035	متصرف	experto, hábil	m
CAR00048	متصوف	sufí, místico	m
CAR00043	متفنن	polifacético	m
CAR00049	متقشف	austero	m
CAR00041	متواضع	humilde	m
CAR00036	مجاب الدعوة	persona cuyas plegarias son atendidas o que posee capacidad de hacer milagros	m
CAR00047	مجاهد	esforzado en la defensa de la religión	m
CAR00066	مجتهد	esforzado en el análisis	m
CAR00069	محتسب	censor de costumbres	m
CAR00087	مُصَلّ	orante	m
CAR00081	مغفّل	descuidado	m
CAR00042	مقدم	destacado	m
CAR00078	من أهل الزهد	asceta	m
CAR00076	من أهل العلم	persona de ciencia	m
CAR00061	من بيت العلم	de familia dedicada al saber	m
CAR00057	من بيت العلم والنباهة	de familia dedicada al saber e ilustre	m
CAR00058	من بيت علم ورواية	de familia dedicada al saber y la transmisión	m
CAR00039	منقبض	retirado/abstenido	m
CAR00010	منكر الحديث	rechazable en el ḥadīṯ	m
CAR00090	مهيب	venerable	m
CAR00046	ناسك	devoto, asceta	m
CAR00020	نبيل	noble	m
CAR00011	نبيه البيت	de familia noble	m
CAR00074	نزيه	alejado del mundo	m
CAR00054	نسك	piedad, devoción	m
CAR00027	ورع	escrupulosidad religiosa	m
CAR00089	وقور	digno, respetable	m
