uri,transliteration,place_label,toponyms,type_label,geometry_type,geometry_coords
ANDALUS_040E398N_R,al-Andalus,الأندلس,الأندلس,province,Point,"(-4.0521, 39.88926)"
BARQA_221E314N_R,Barqaŧ,برقة,برقة,province,Point,"(22.1, 31.4)"
CENTRAL_ARABIA_416E227N_R,al-Ḥijāz+,الجزيرة,الجزيرة، أقور,province,Point,"(41.65725, 22.78726)"
IFRIQIYYA_78E349N_R,Ifriqiyyā,إفريقية,إفريقية,province,Point,"(7.8, 34.9)"
IRAQ_459E319N_R,al-ʿIrāq,العراق,العراق,province,Point,"(45.96, 31.9)"
JAZIRA_420E364N_R,al-Jazīraŧ,جزيرة,جزيرة، جزيرة العرب,province,Point,"(42.05, 36.41)"
MAGHRIB_045E323N_R,al-Maġrib,المغرب,المغرب,province,Point,"(-4.52149, 32.30201)"
MAWARANNAHR_656E401N_R,Mā warāʾ al-nahr,ما وراء النهر,ما وراء النهر,province,Point,"(65.61472, 40.1917)"
MISR_305E292N_R,Miṣr,مصر,مصر، الديار المصرية,province,Point,"(30.52, 29.23)"
NE_IRAN_606E351N_R,Ḫurāsān,خراسان,خراسان,province,Point,"(60.61524, 35.17917)"
NW_IRAN_515E356N_R,al-Jibāl+,الجبال,الجبال، الجبل,province,Point,"(51.50831, 35.62754)"
QABQ_457E413N_R,al-Riḥāb,الرحاب,الرحاب,province,Point,"(45.79, 41.33)"
RUM_335E392N_R,al-Rūm,الروم,الروم، بلد الروم,province,Point,"(33.57, 39.21)"
SE_ARABIA_556E220N_R,ʿUmān+,,,province,Point,"(55.67, 22.01)"
SE_IRAN_656E286N_R,Sījīstān+,سجستان,سجستان، سيستان,province,Point,"(65.61472, 28.62665)"
SHAM_363E335N_R,al-Šām,الشام,الشام، شام,province,Point,"(36.30199, 33.51843)"
SIQILIYYA_145E375N_R,Ṣiqiliyyaŧ,,,province,Point,"(14.5, 37.57)"
SW_ARABIA_456E158N_R,al-Yaman,اليمن,اليمن,province,Point,"(45.68, 15.82)"
SW_IRAN_540E294N_R,Fārs+,فارس,فارس,province,Point,"(54.00, 29.43)"
